"weight","lat1","lng1","lat2","lng2"
1,38.98,-76.49,38.91,-77.02
0.845250554133325,47.04,-122.89,44.92,-123.02
0.790376545211341,42.34,-71.02,41.77,-72.68
0.723209946076744,34.04,-80.89,35.82,-78.66
0.593683649877135,38.57,-92.19,39.04,-95.69
0.575645010904681,43.08,-89.39,39.78,-89.64
0.575329143905009,41.82,-71.42,42.34,-71.02
0.550347424484976,41.82,-71.42,41.77,-72.68
0.540257950893217,32.32,-90.21,32.35,-86.28
0.539677573001519,40.28,-76.88,40.22,-74.76
0.516620349959463,32.32,-90.21,43.61,-116.23
0.512355226424977,32.32,-90.21,30.45,-91.13
0.503995827849107,40.82,-96.69,41.58,-93.62
0.50266233726818,30.31,-97.75,30.45,-91.13
0.478880497908862,46.81,-100.77,44.95,-93.1
0.457700945358923,33.76,-84.42,32.35,-86.28
0.450395056042834,42.67,-73.8,40.22,-74.76
0.432543243181603,37.53,-77.47,38.91,-77.02
0.423167568910221,36.17,-86.78,32.35,-86.28
0.404923883507451,40.28,-76.88,38.98,-76.49
0.392371721093964,30.45,-91.13,32.35,-86.28
0.367649890373352,43.08,-89.39,41.58,-93.62
0.366067920104964,41.15,-104.79,44.37,-100.34
0.352987161826261,44.92,-123.02,43.61,-116.23
0.340462385129315,44.32,-69.77,33.76,-84.42
0.334467245627938,34.04,-80.89,33.76,-84.42
0.318956608359941,46.81,-100.77,41.58,-93.62
0.318738575493141,38.57,-92.19,42.34,-71.02
0.314307188754343,43.23,-71.56,42.34,-71.02
0.313724717664236,44.95,-93.1,41.58,-93.62
0.313123458338559,37.53,-77.47,35.82,-78.66
0.31301824212272,44.26,-72.57,43.23,-71.56
0.310640888385079,40.78,-111.93,43.61,-116.23
0.308027374157454,39.15,-119.74,38.57,-121.47
0.307766852198324,36.17,-86.78,32.32,-90.21
0.297325670865498,36.17,-86.78,30.45,-91.13
0.292501924127191,46.81,-100.77,46.6,-112.03
0.291283444301736,41.15,-104.79,46.6,-112.03
0.29031657773972,37.53,-77.47,38.98,-76.49
0.28890657392594,40.28,-76.88,42.67,-73.8
0.28732585796806,35.82,-78.66,33.76,-84.42
0.284497450562964,40.28,-76.88,38.91,-77.02
0.282350637012756,38.57,-121.47,33.54,-112.07
0.276879484251127,42.67,-73.8,41.77,-72.68
0.27618541596226,40.22,-74.76,38.91,-77.02
0.27419291133171,40.22,-74.76,38.98,-76.49
0.269827660359663,36.17,-86.78,34.72,-92.35
0.262073240355599,40.22,-74.76,41.77,-72.68
0.261302184728531,40.28,-76.88,39.16,-75.53
0.259508123705882,39.99,-82.99,33.76,-84.42
0.257630175686385,34.04,-80.89,44.32,-69.77
0.249973722934623,38.98,-76.49,39.16,-75.53
0.24943831847908,44.95,-93.1,39.78,-89.64
0.246405844764211,33.76,-84.42,30.46,-84.28
0.245585662139258,38.2,-84.86,39.78,-86.15
0.244433698272878,40.28,-76.88,39.99,-82.99
0.241477911167894,39.78,-86.15,39.78,-89.64
0.235824871112266,36.17,-86.78,33.76,-84.42
0.229080225468458,40.22,-74.76,42.34,-71.02
0.226114209863735,39.99,-82.99,39.78,-86.15
0.225403669308191,43.08,-89.39,44.95,-93.1
0.224371475953566,44.37,-100.34,40.82,-96.69
0.223643686330253,36.17,-86.78,38.2,-84.86
0.222590749953934,44.37,-100.34,46.81,-100.77
0.220360280129754,35.47,-97.51,39.04,-95.69
0.219005833043988,44.37,-100.34,41.58,-93.62
0.218476318346652,30.45,-91.13,34.72,-92.35
0.218084071037613,35.47,-97.51,38.57,-92.19
0.217661142203677,40.82,-96.69,38.57,-92.19
0.214668461494035,43.08,-89.39,46.81,-100.77
0.212795405874019,44.37,-100.34,46.6,-112.03
0.20872319951028,35.47,-97.51,34.72,-92.35
0.204890120256998,35.68,-105.95,33.54,-112.07
0.203664704939926,41.58,-93.62,39.78,-89.64
0.20339017381287,46.6,-112.03,43.61,-116.23
0.202471497637656,39.99,-82.99,42.71,-84.55
0.201709123446756,39.15,-119.74,33.54,-112.07
0.198569478289736,39.99,-82.99,38.2,-84.86
0.197810559978423,35.68,-105.95,39.77,-104.87
0.195881358382552,38.57,-92.19,34.72,-92.35
0.191862618753529,40.22,-74.76,39.16,-75.53
0.191163623621587,43.23,-71.56,41.77,-72.68
0.190468145970769,43.23,-71.56,44.32,-69.77
0.188896503812213,35.82,-78.66,34.72,-92.35
0.188552829894889,39.77,-104.87,33.54,-112.07
0.18721586627013,42.71,-84.55,39.78,-86.15
0.187180507620867,42.67,-73.8,38.91,-77.02
0.184152557414286,41.15,-104.79,40.82,-96.69
0.181742058671564,47.04,-122.89,43.61,-116.23
0.180995850783889,42.67,-73.8,42.34,-71.02
0.180452189272232,34.04,-80.89,32.35,-86.28
0.178221490096896,46.81,-100.77,43.61,-116.23
0.176906185552908,41.82,-71.42,43.23,-71.56
0.176580371471836,40.28,-76.88,41.77,-72.68
0.176085043911937,40.82,-96.69,39.04,-95.69
0.174047022570363,44.92,-123.02,46.6,-112.03
0.172593443041204,38.57,-92.19,41.58,-93.62
0.171995496659212,44.95,-93.1,39.78,-86.15
0.171369728867002,30.45,-91.13,39.78,-86.15
0.166943062465451,46.81,-100.77,40.82,-96.69
0.166059333393313,42.67,-73.8,38.57,-121.47
0.165494036340808,38.57,-92.19,39.78,-89.64
0.163854534532789,32.32,-90.21,34.72,-92.35
0.163553721672415,30.46,-84.28,32.35,-86.28
0.16206728407773,39.99,-82.99,32.35,-86.28
0.160418119127907,41.15,-104.79,39.77,-104.87
0.160197888224422,35.82,-78.66,38.91,-77.02
0.15952393349497,37.53,-77.47,40.28,-76.88
0.159402831598638,42.67,-73.8,38.98,-76.49
0.159127416563489,35.82,-78.66,38.98,-76.49
0.157428172894881,41.15,-104.79,43.61,-116.23
0.15609140407876,39.78,-89.64,33.54,-112.07
0.154270816799756,38.98,-76.49,41.77,-72.68
0.153881952344187,38.91,-77.02,38.57,-121.47
0.153079954354284,40.78,-111.93,39.77,-104.87
0.150206563364028,36.17,-86.78,39.78,-86.15
0.150155491938199,38.35,-81.63,38.98,-76.49
