"AL","AZ","AR","CA","CO","CT","DE","DC","FL","GA","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
0.00908340214698596,0.00493461633358006,0.00352858151023289,0.00248041039517447,0.00574135208841682,0.00207756232686981,0,0.00232018561484919,0.00150398556173861,0.00222983196623397,1,0.00208188757807078,0.00152827305145186,0.00439721509710517,0.00317082837891399,0.00361842105263158,0.00604229607250755,0.00101729399796541,0.00291120815138282,0.00112303468929374,0.00108695652173913,0.00236686390532544,0.0368403584467308,0.00462776659959759,0.0145038167938931,0.00552486187845304,0.0043256604356558,0,0.00191768697448001,0.00659133709981168,0.000878117316473481,0.00095435024654048,0.0127090301003344,0.00219592533853849,0.00214304848647201,0.0251716247139588,0.00180302005859815,0.000884173297966401,0.00274725274725275,0.00699300699300699,0.00448,0.00202706126792682,0.0221518987341772,0.00183318056828598,0.00208166533226581,0.0129600829445308,0.00377073906485671,0.00133650133650134,0.0112262521588946
0.00395979287237283,0.011130926757272,0.00279053020073814,0.00590141171025226,0.00816918110547467,0.00309572948086998,0.000403795679386231,0.00850734725444702,0.00432136053157381,0.00529584516874488,0.00208188757807078,1,0.0172198652358373,0.0145233936942734,0.0017579570688379,0.0044259537930424,0.00740940320625084,0.000292369164798753,0.00675312715831479,0.0104018327038573,0.0099290780141844,0.0177875243664717,0.00307422046552481,0.0118014313994213,0.00145666423889294,0.00517935929407251,0.00420766881574483,0.000201430154094068,0.00466107337861233,0.00278712157616531,0.00634090278603416,0.00345987506006728,0.00765260722548496,0.00855170728727628,0.00133100407619998,0.00282574568288854,0.0073266514272317,0.000758150113722517,0.00201808804843411,0.0018025660057258,0.00600538413750259,0.00580499516250403,0.00230308613542146,0.000426212040490144,0.0044168391994479,0.00392547822294224,0.00103982530934803,0.0410494254464904,0.00105741778576716
0.00530770334241859,0.00293083235638921,0.0040453074433657,0.00135842221775005,0.00473359753412594,0.00201612903225806,0.00107238605898123,0.00282381829343155,0.0024024413999091,0.00402840365970231,0.00152827305145186,0.0172198652358373,1,0.00976319069380972,0.00301919344403709,0.017512790240063,0.012220428867881,0.00122458976242959,0.00477568740955137,0.00247084404032417,0.0133504218733312,0.012265052564511,0.00286861732644865,0.00965223562810504,0.00145180023228804,0.00678362573099415,0.00197582519758252,0,0.00134831460674157,0.00282618935468676,0.00198133375045623,0.00286415711947627,0.00468384074941452,0.0161242748992233,0.00325231085244779,0.00182149362477231,0.00492880613362541,0.00114181319936058,0.00277392510402219,0.00245098039215686,0.0107112769286316,0.0026103681993039,0.00191693290734824,0.000311332503113325,0.00479731350443752,0.00161290322580645,0.00290613193839,0.00933834415214668,0.00121691512017037
0.00275814514738838,0.00453841044941333,0.00319064078702473,0.00123067044785703,0.00506585612968592,0.00228223659186002,0.00118110236220472,0.00157909847832328,0.00140577774653827,0.00222485909225749,0.00439721509710517,0.0145233936942734,0.00976319069380972,1,0.00727802037845706,0.0053043697903511,0.00330512956107879,0.00172890733056708,0.00261460693742374,0.00257587635793482,0.00326481257557437,0.0223718075628588,0.00197775030902349,0.0123076923076923,0.00444839857651246,0.0359400998336106,0.00229326858222042,0.000390167772142021,0.00142671854734112,0.00491480996068152,0.00250264167732607,0.00177896375361352,0.0227448953217886,0.00373216245883644,0.00279149667167705,0.00222345747637576,0.00326964340451619,0.00156838143036386,0.00182481751824818,0.0156173743289409,0.00473999721176635,0.001790466973143,0.00342759211653813,0,0.00181209924728185,0.00183297055791041,0.00355239786856128,0.0262172284644195,0.00382409177820268
0.00340014316392269,0.00192133815551537,0.00592885375494071,0.000919664592913173,0.00638270157613651,0.000989119683481701,0.000428816466552316,0.000739426205264715,0.00114114542472006,0.00135480957398766,0.00317082837891399,0.0017579570688379,0.00301919344403709,0.00727802037845706,1,0.00346020761245675,0.0035359717122263,0.0011177347242921,0.00198879045380582,0.0013745704467354,0.00123808344682432,0.00324017820980154,0.0026089225150013,0.0423357664233577,0.00146699266503667,0.0125566794558772,0.00180380185930346,0,0.00039957378795951,0.00386507378777231,0.00581493818099701,0.00173166691763289,0.00106866150146941,0.00190647078613884,0.0157139603734912,0.0013482280431433,0.00125039074710847,0.00134273246055723,0.00120233596702164,0.00160599571734475,0.00286656155940949,0.00352595494613124,0.00273224043715847,0,0.00157909847832328,0.000938196317579453,0.0009765625,0.00201423391969921,0.00105932203389831
0.00624076202988997,0.00213561131873999,0.00368731563421829,0.00131599726272569,0.00462962962962963,0.00287562904385334,0.00105263157894737,0.00206270627062706,0.00317000895872097,0.00326583932070542,0.00361842105263158,0.0044259537930424,0.017512790240063,0.0053043697903511,0.00346020761245675,1,0.00547352342158859,0.000936329588014981,0.00347624565469293,0.00140555735755217,0.00443458980044346,0.00366703337000367,0.00483648088438508,0.00435132957292506,0.000779423226812159,0.00381231671554252,0.0015527950310559,0.000348068221371389,0.00124672734073058,0.00207715133531157,0.00125593840441217,0.00253807106598985,0.00234907211651398,0.0141600514910963,0.00160901045856798,0.000349833828931258,0.00346740638002774,0.000857142857142857,0.00347716137189821,0.00125628140703518,0.0159481010947425,0.0017162471395881,0.00183438155136268,0,0.0034801231428189,0.00121627598407784,0.00823852491173009,0.00389888064394416,0
0.0279801499313694,0.00502745765333746,0.0155796144705572,0.00492895204262877,0.00730733282351942,0.00360419397116645,0.000929368029739777,0.00702402957486137,0.0089419605665093,0.0104329681794471,0.00604229607250755,0.00740940320625084,0.012220428867881,0.00330512956107879,0.0035359717122263,0.00547352342158859,1,0.00132216835610401,0.00708112048318234,0.00335204240723418,0.00427490956922065,0.00320300419703998,0.0365362111558965,0.00912633305988515,0.000647983152438037,0.00342465753424658,0.00247327974560551,0.000308594352723345,0.00422741782417393,0.00561393407226141,0.00375062891643416,0.00803700491471524,0.00292881701260665,0.00654954538449684,0.00644480899929693,0.00150311359244149,0.00659437280187573,0.00056274620146314,0.00606183067286321,0.00133511348464619,0.0212023864157871,0.0358450082039631,0.00242783922309145,0,0.0104631061777818,0.00166099818081152,0.00210833603632825,0.00354978354978355,0.000332391557254446
0.00759089093088294,0.000723240115718419,0.00200400801603206,0.000278800044608007,0.00125803746155997,0.00514081358962897,0.00113122171945701,0.00112957882846539,0.00170991004386291,0.0242784789774098,0.00101729399796541,0.000292369164798753,0.00122458976242959,0.00172890733056708,0.0011177347242921,0.000936329588014981,0.00132216835610401,1,0.00241594523857459,0.0106264673174348,0.000664982045484772,0.000683682771194166,0.00367197062423501,0.000972006220839813,0.000673854447439353,0.00128369704749679,0.000601232526679693,0.0135823429541596,0.00230813618003462,0.000436109899694723,0.000812112071465862,0.00417684608716211,0.000943099654196794,0.00155539602775784,0.00102748522989982,0.000863557858376511,0.00155004428697963,0.00665557404326123,0.0183716882614581,0,0.00437090227911333,0.000451807228915663,0.000730460189919649,0.00482703137570394,0.00328484279680901,0.000376458777763835,0.00202156334231806,0.000725268349289237,0
0.00675503441243946,0.00423042304230423,0.00256849315068493,0.00692460413539296,0.00461291616526274,0.011001100110011,0.0178257042253521,0.0713103122043519,0.005047085615806,0.00729832719757153,0.00291120815138282,0.00675312715831479,0.00477568740955137,0.00261460693742374,0.00198879045380582,0.00347624565469293,0.00708112048318234,0.00241594523857459,1,0.00665997627953654,0.00357764455617869,0.003601108033241,0.00425601571451956,0.00351053159478435,0.00207804202262757,0.00250868390582787,0.00401097741186405,0.000861697544161999,0.0195527821112845,0.00389939559368298,0.0113670656875566,0.0113474257554143,0.00282298239787446,0.00926009170187899,0.000741070105231955,0.00402090872537193,0.0288752485519149,0.00285171102661597,0.00482553823311062,0.000721153846153846,0.00639219934994583,0.00414279418245923,0.00340746054519369,0.000975609756097561,0.0207025657967184,0.0056659855099387,0.010707635009311,0.00246659815005139,0.000239177230327673
0.00225754018421528,0.00356493778834056,0.00354649229746204,0.00393305439330544,0.00394956706668692,0.0563619981980178,0.00179234413007297,0.00905424314758416,0.00354573484069887,0.00432807908095111,0.00112303468929374,0.0104018327038573,0.00247084404032417,0.00257587635793482,0.0013745704467354,0.00140555735755217,0.00335204240723418,0.0106264673174348,0.00665997627953654,1,0.00199232585596222,0.00413342305104297,0.00128713933283278,0.0227293473299863,0.0006635700066357,0.00190953574412221,0.00228652527004652,0.0224133437581444,0.0163357823979991,0.000959117611797147,0.0129068706270914,0.00352357055149218,0.00184341791368467,0.00305937978028091,0.00332694828107672,0.00196813495782568,0.00861608335559711,0.0410269008721287,0.00203575854133475,0.000815549816501291,0.00337430706194264,0.00320450947839852,0.0014803006148941,0.00315890674357918,0.00515920999596937,0.00164238788917452,0.000796178343949045,0.00185614849187935,0.000406559154356959
